,group_id,group_name,startyear,endyear,active,complete,description,on_any_map,map_name,_merge,lat,long
10,27,Al-Tawhid Islamic Front,2001.0,2001.0,0.0,1.0,"In July 2001, two splinter groups of the Islamic Movement in Kurdistan -- Kurdish Hamas and Tawhid -- merged to formed Al-Tawhid Islamic Front (TIF). TIF's life as an independent group was relatively short; it existed as an autonomous entity for three months in the summer of 2001 and was not credited with any major attacks. In September 2001, TIF merged with the Second Soran Unit to form Jund al-Islam.",1.0,Iraq,matched (3),39.19674301147461,32.15494155883789
11,29,Hamas Iraq,2007.0,0.0,1.0,1.0,"Hamas Iraq is an Iraqi Sunni Islamist organization that broke away from the 1920s Revolution Brigades in March 2007.  The group primarily targeted U.S. forces in Iraq from 2007-2011.  In July 2007, Hamas Iraq joined with several of Iraqs largest insurgent groups to form an umbrella organization called the Political Council for Iraqi Resistance (PCIR).",1.0,Iraq,matched (3),39.19674301147461,32.15494155883789
12,31,Second Soran Unit,1998.0,2001.0,0.0,1.0,"The Second Soran Unit (SSU) was a predominantly Kurdish, Sunni Islamist militant group that was led by Asad Muhammad Hasan (more commonly known as Aso Hawleri).  The SSU had been a military brigade in the Islamic Movement of Kurdistan (IMK) before splitting off to form an independent group in 1998.  In 2001, the SSU merged with two other Kurdish Sunni groups to form Jund al-Islam, a group that would became a founding member of Ansar al-Islam later that year.",1.0,Iraq,matched (3),39.19674301147461,32.15494155883789
13,57,Mahdi Army,2003.0,0.0,1.0,1.0,"The Mahdi Army, also known as the Jaysh al-Mahdi (JAM), is a Shiite militia led by Muqtada al-Sadr. The group was founded in 2003 and was considered one of the most dangerous groups in Iraq until early 2008. In March 2008, the Iraqi Security Forces and coalition troops launched a major offensive against the Mahdi Army in Basra, significantly undermining its capacity. After signing a ceasefire agreement with the coalition forces in 2008, Sadr reoriented the Mahdi Army to focus on social services provision for the Shiite community. In 2010, Sadr again redirected the focus of many members of the Mahdi army, this time to the upcoming parliamentary elections, before stepping out of the public eye in 2013. Then in June 2014, he reemerged to revive the Mahdi Army, now called the Peace Brigades, in order to join the fight against the Islamic State.",1.0,Iraq,matched (3),39.19674301147461,32.15494155883789
14,61,Al Shabaab,2006.0,0.0,1.0,1.0,"Al Shabaab, meaning ""The Youth"" in Arabic, is the largest militant organization fighting to oust the Somalian government. The group seeks to control territory within Somalia in order to establish a society based on its rigid interpretation of Shariah law. Although based in Somalia, Al Shabaab also conducts attacks in neighboring countries, such as Kenya. Al Shabaab emerged as an independent organization around December 2006 after breaking away from the Islamic Courts Union (ICU), for which it had served as the military wing. Since the late 2000s, Al Shabaab has had close ties to Al Qaeda and has sought to frame the Somalian struggle as part of a global jihad. The group has engaged in bombings, suicide attacks, and armed assaults, especially against Somalian government targets, non-Christians, private citizens,  foreign troops, diplomats, and aid or nongovernmental organization workers.",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
15,65,Al Qaeda in the Islamic Maghreb,1998.0,0.0,1.0,1.0,"AQIM, originally known as the Salafist Group for Preaching and Combat (GSPC), split from the Armed Islamic Group (GIA), the main Islamist group fighting in the Algerian Civil War, in 1998.  In 2006, the GSPC became a formal affiliate of Al Qaeda (AQ) and changed its name to Al Qaeda in the Islamic Maghreb (AQIM).  The group is famous for kidnapping westerners for ransom in North Africa and is an active participant in the drug, arms and human trafficking trade in the region.  Through these pursuits, AQIM has become one of the wealthiest terrorist organizations in the world.",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
16,75,Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ,2006.0,0.0,1.0,1.0,"The Jaysh Rijal al-Tariq al-Naqshbandia (JRTN) is a Sufi insurgent group largely comprised of ex-Baath Party members. It was formed by Izzat Ibrihim al-Douri in 2006 in response to the execution of Saddam Hussein.  With Husseins death, many of Iraqs remaining Baathists coalesced around Douri, the most senior remaining Baathist leader in the country, forming the basis of the JRTN.  The group has since expanded to become one of the most powerful insurgent organizations in Iraq, second only to the Islamic State (IS). Despite their almost diametrically opposed ideologies, the JRTN and IS have worked closely with one another on multiple occasions, most notably in the capture of Mosul in June of 2014.",1.0,Iraq,matched (3),39.19674301147461,32.15494155883789
17,77,Red Brigades,1970.0,1984.0,0.0,1.0,"The left-wing Red Brigades (BR) was Italy's largest, longest-lived, and most prolific terrorist group. It was founded in Milan in 1970 by members of student and worker groups. The group sought to defend against a feared fascist coup and sought to overthrow the democratic Italian government and replace it with a dictatorship of the proletariat. It absorbed many smaller groups before finally splitting up itself in the face of widespread arrests and internal disputes beginning in 1980. ",1.0,Italy,matched (3),12.75357437133789,43.97100067138672
18,79,Lashkar-e-Taiba,1990.0,0.0,1.0,1.0,"Lashkar-e-Taiba (LeT) is a Pakistan-based group formed in 1990 that primarily fights Indian control over Jammu and Kashmir. The group subscribes to a strict fundamentalist interpretation of Islam and seeks to establish an Islamic caliphate in South Asia. It has declared the U.S., Israel and India as existential enemies of Islam. LeT has conducted numerous deadly attacks against Indian officials, troops, and civilians in the disputed area of Kashmir as well as throughout India and Afghanistan.  The group maintains training camps, facilities, schools, and medical clinics in Pakistan. It runs its own charitable organization, Jamaat-ud-Dawa (JUD), and has supported humanitarian relief missions in Pakistan. In 2002, Pakistan officially banned Lashkar-e-Taiba. In 2008, both the U.S. and the UN placed sanctions on several senior LeT leaders. ",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
19,81,Hezbollah,1983.0,0.0,1.0,1.0,"Hezbollah is a Shiite political and militant organization based in Lebanon. Since its creation in the 1980s, it has evolved into a hybrid organization woven into the structure of Lebanese society through social services and active participation in politics while also carrying out international terrorist attacks and regional military operations. The group regularly clashes with Israel and opposes Western influence in Lebanon, and most recently has been involved in the Syrian Civil War as an ally of the Assad government.",1.0,Aleppo,matched (3),33.25171661376953,35.66961669921875
20,85,United Self-Defense Forces of Colombia ,1997.0,2006.0,0.0,1.0,"The AUC is a right-wing, paramilitary organization in Colombia, that was active from 1997 to 2006. The Castaño brothers founded a vigilante, self defense movement, las Tangas, to attack leftist guerrillas in 1982 and, after several transformations, their group became the AUC in 1997, a consolidation of many self-defense groups that used tactics such as kidnappings and assassinations. The AUC demobilized in 2006; however, some individuals and small groups have carried out attacks claiming to be the AUC since the groups demobilization.",1.0,Colombia,matched (3),-81.71305847167969,12.490276336669922
21,87,National Liberation Army (Colombia),1964.0,0.0,1.0,1.0,"Brothers Fabio and Manuel Vasquéz Castaño founded the ELN, a Marxist-Leninst group, in 1964 to defend Colombians whom they believed to be victims of social, political, and economic injustices perpetrated by the Colombian state. The Colombian military decimated the ELN in 1973; however, the group was able to rebuild from just 65 members. The ELNs involvement in the drug trade and kidnapping practices helped the group grow to over 4,000 members at its height in 1999. Though the ELN has been in steady decline since 2000, the group has remained involved in peace talks with the Colombian government from 2014 through to 2015.",1.0,Colombia,matched (3),-81.71305847167969,12.490276336669922
22,89,Revolutionary Armed Forces of Colombia - People's Army,1964.0,2016.0,0.0,1.0,"The Revolutionary Armed Forces of Colombia (FARC), a Marxist-Leninst guerrilla group, was founded by Manuel Marulanda and Jacobo Arenas in 1964. The group was formed to represent the rural populations interests following the civil war from 1948 to 1958.The FARC originally aimed to overthrow the government and has financed its operations through the drug trade, kidnapping, extortion and, most recently, illegal gold mining. Today the FARC is engaged in peace talks with the Colombian government to end the conflict and demobilize.",1.0,Colombia,matched (3),-81.71305847167969,12.490276336669922
23,91,April 19 Movement,1974.0,1989.0,0.0,1.0,"The April 19 Movement (M-19) was formed in 1974 by Jaime Bateman Cayón, Antonio Navarro Wolff, and Carlos Toledo Plata to fight for democracy in Colombia. The M-19 was most known for its attacks on multinational corporations and embassies. In 1989, the guerrilla group became a legal political party and became the M-19 Democratic Alliance (AD M-19); the AD M-19 quickly achieved political success but after 1997, lost all political influence, and members gradually abandoned the party and joined the Independent Democratic Pole party and the Alternative Democratic Pole party. The Jaime Bateman Cayón Group, a faction of the M-19 that did not demobilize, continued its militant activities until 2001.",1.0,Colombia,matched (3),-81.71305847167969,12.490276336669922
24,95,Jaish-e-Mohammad,2000.0,0.0,1.0,1.0,"Jaish-e-Mohammad (JeM) is a Sunni extremist group based in Pakistan that seeks to annex Indian Administered Kashmir (IAK) to Pakistan and govern Pakistan according to an extreme interpretation of Shariah law.  Radical Islamist scholar Masood Azhar founded the group in the early 2000s. Since its formation, the group claimed responsibility for multiple terrorist attacks in IAK, India, and Pakistan, and in 2008 began to refocus its efforts to combat U.S. and Coalition forces in Afghanistan. It regularly targets government and security forces using arms attacks and suicide bombings.",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
25,99,Al Ittihad Al Islamiya,1984.0,1997.0,0.0,1.0,"Al Ittihad Al Islamiya (AIAI) formed in Somalia in 1984 with the goal of establishing an Islamic state in East Africa. In the late 1980s, AIAI began to focus on armed resistance against Somalias dictator, Siad Barre. AIAI mostly conducted attacks in Somalia, but after Barres overthrow in 1991, AIAI allied with the Ogaden National Liberation Front (ONLF), a separatist movement of ethnic Somalis living in Ethiopias Ogaden region, to refocus its energy on Ethiopia as its primary target. AIAIs cooperation with the ONLF and attacks in Ethiopia provoked the Ethiopian government to invade Somalia in 1996 and destroy the AIAI. On January 4, 1997, AIAI announced its transition to a political party, signaling the organizations effective end as a militant group. AIAI has sometimes been blamed for attacks after 1997, but these attacks were generally conducted by former AIAI members rather than a centralized organization.",1.0,Somalia,matched (3),42.073883056640625,4.176146507263184
26,101,Islami-Jamiat-Taliba,1947.0,0.0,1.0,0.0,"Islami Jamiat Taliba (IJT) is the student wing of Pakistan's main political party Jamat-e-Islami. It came into being in 1947 as a student group to contend the influence of Marxist student groups on the university campuses of Pakistan. It has since then established a network of well structured organization on all university campuses across Pakistan. With significant political clout, IJT has been part of many national level protest movements and agitations. Its members have also been found to be connected with terrorist plots, and its organizational base continues to function as an active breeding ground for future Jihadis.",1.0,Pakistan -- All,matched (3),29.473697662353516,63.230438232421875
27,105,Tehrik-i-Taliban Pakistan,2007.0,0.0,1.0,1.0,"The Tehrik-i-Taliban Pakistan (TTP) is the largest and deadliest militant umbrella organization in Pakistan. The TTP formed under Baitullah Mehsud in 2007. It is a subset of the Pakistani Taliban, which includes most, but not all, of the Pakistani Taliban groups. The organization is closely linked to Al Qaeda, and is also associated with the Afghan Taliban. However, unlike the Afghan Taliban, which focuses on combatting U.S.-led coalition forces in Afghanistan, the TTP focuses on combatting Pakistani security forces. The TTP is based in South Waziristan and has three central goals: to enforce Shariah law in Pakistan; to establish a unified front to combat U.S.-led coalition forces in Afghanistan; and to conduct defensive jihad against Pakistani security forces. Ultimately, the group also seeks to overthrow the Pakistani government and establish an Islamic caliphate in Pakistan. Since 2014, internal splits and Pakistani counterterrorism operations have weakened the TTP. The group remains active under the leadership of Maulana Fazlullah.",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
28,107,Islamic Courts Union,2000.0,2007.0,0.0,1.0,"The Islamic Courts Union (ICU) originated as a loose association of Islamic courts in Somalia, which provided security and managed crime after the overthrow of Somali dictator Siad Barre in 1991. Around 2000, the courts first united to form what would be called the ICU. The ICU evolved from a judicial system to a governing apparatus, eventually providing social services and implementing Shariah law in the territories under its control. The ICU maintained a powerful militia, which included the group that would be called Al Shabaab, and conquered Mogadishu as well as much of Somalia in June 2006. After ruling for several months, the ICU was defeated in December 2006 by troops from Somalias Transitional Federal Government (TFG) and Ethiopia, after which the group disbanded.",1.0,Somalia,matched (3),42.073883056640625,4.176146507263184
29,109,Ahlu Sunna Wal Jama,1991.0,0.0,1.0,1.0,"Ahlu Sunna Wal Jama (ASWJ) formed in 1991 to protect Sufi Muslims in Somalia. ASWJ was established in response to such groups as Al Ittihad Al Islamiya (AIAI), whose radical Islamist ideology violently opposed Sufism. The group was not a primarily militant organization prior to 2008, instead engaging in community religious affairs. ASWJ began fighting Al Shabaab in 2008 after that organization conducted several anti-Sufi attacks. ASWJ is loosely allied with Somalias Transitional Federal Government (TFG) and cooperates with it against Al Shabaab.",1.0,Somalia,matched (3),42.073883056640625,4.176146507263184
30,111,Al Akhtar Trust,2000.0,0.0,1.0,1.0,"Al Akhtar Trust is a charity linked to the Taliban and Al Qaeda, and is an offshoot of the jihadi organization, Jaish-e-Muhammed . It was created in 2000 as a front of the Al Rashid Trust, another charity linked with Al Qaeda, which was designated as terrorist support group by US Department of Treasury in 2001. Al Akhtar Trust has been active in raising funds for jihad in Pakistan, Afghanistan and Iraq. One of its financiers has been linked with the kidnapping and murder of the Wall Street Journal's South Asia Bureau Chief, Daniel Pearl. Al Akhtar Trust was designated as a terrorist support group by US Department of Treasury in 2003, and as of 2010, the United Nations, the Government of Pakistan, and Interpol also list Al Akhtar Trust as a terrorist-affiliated organization.",1.0,Pakistan,matched (3),63.230438232421875,29.473697662353516
31,113,Hizbul Islam ,2009.0,2013.0,0.0,1.0,"Hizbul Islam was an Islamist militant organization based in Somalia. It was formed in opposition to the Somali Transitional Federal Government (TFG) on February 4, 2009, through the merger of four Somali Islamist groups: the Alliance for the Re-liberation of Somalia (ARS), the Ras Kamboni Brigade, Jabhatul Islamiya (Islamic Front), and Anole. Together with Al Shabaab, another Somali Islamist militant organization, Hizbul Islam gained control of all of southern Somalia, various other provinces, and most of Mogadishu in 2009. However, Hizbul Islam and Al Shabaab eventually became rivals, and in 2010, after sustained fighting, Al Shabaab absorbed a weakened Hizbul Islam. Hizbul Islam broke away from Al Shabaab in 2012, and in 2013, the group renounced militant activity.",1.0,Somalia,matched (3),42.073883056640625,4.176146507263184
32,117,Al Rashid Trust,1996.0,2001.0,0.0,0.0,"Al Rashid Trust (ART) was founded in 1996 by Mufti Mohammad Rashid as a charity, and was subsequently linked to the Taliban, Al Qaeda, and Jaish-e-Mohammed (JeM). It merged into Al Akhtar Trust in 2001, and was deemed a terrorist support group by the US Department of Treasury in the same year. ART operated twenty-one branches across Pakistan, actively raised funds for jihadi activities in Chechnya, Kosovo, and Afghanistan, and published English and Urdu newspapers, Dharb-e-Momin and Zarb-e-Momin, respectively. As of 2010, the United Nations, Government of Pakistan, United States Department of Treasury and Interpol list ART as a terrorist group.",1.0,Pakistan,matched (3),63.230438232421875,29.473697662353516
33,119,Popular Liberation Army,1967.0,1991.0,0.0,1.0,"The Popular Liberation Army (EPL) was a Marxist guerrilla group that formed in 1967 as the armed wing of the Communist Party of Colombia (Marxist-Leninist), a splinter party of the Colombian Communist Party (PCC). The EPL openly used the drug trade to finance its operations in an attempt to achieve its goal of protecting the proletariat from government influence. In 1991, less than half of the group demobilized and transformed itself into a political party while the majority of members continued militant activities as a dissident group under the leadership of Megateo, originally the leader of one of EPLs factions, the Libardo Mora Toro Front.",1.0,Colombia,matched (3),-81.71305847167969,12.490276336669922
34,129,Moroccan Islamic Combatant Group,1998.0,0.0,1.0,1.0,"The Moroccan Islamic Combatant Group (GICM) is an Islamic militant group established in the mid- to late-1990's. Like many other armed Islamic movements formed at the time, the GICM was inspired by the mujahideen in Afghanistan, where some of GICM's members fought against the Soviet Union. At one point, the group was considered to have several cells in Europe that financed much of the group's activities in Morocco.  The group was founded by a faction split from Morrocan group Shabaab Islamiyah. Despite having participated in several successful attacks, such as the 2003 Casablanca bombings and the 2004 Madrid bombings, the group is now considered to be extremely weak or dissolved. The Moroccan government has conducted a successful counterterrorism campaign that has killed or imprisoned many of the group's leaders. Some believe former members may have simply joined other similar groups.",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
35,133,Asian Tigers,2010.0,0.0,1.0,1.0,"Asian Tigers is a militant group in Pakistan. It is a front of Hakat-ul-Jiahdi-Islami (HuJI) and falls in the umbrella of Tehreek-e-Taliban(TTP) Pakistan. The overall strength of the organization is unknown but it has been reported that the group is a splinter of TTP's Punjabi Taliban. The group is said to be critical over the distinction made within the Taliban ranks of who is considered 'Mujahid' and who is not. Mohammad Omar, alias Usman Punjabi, is the spokesman for the group.",1.0,Pakistan -- All,matched (3),29.473697662353516,63.230438232421875
36,137,Prima Linea,1976.0,1983.0,0.0,1.0,"Prima Linea was Italy's second-largest left-wing terrorist group after the Red Brigades, with nearly a thousand members. The PL sought to overthrow the capitalist state in Italy and replace it with a dictatorship of the proletariat. The organization targeted mostly politicians, law enforcement, factory managers, and business leaders. PL was loosely organized, with a national leadership coordinating several local cells. These cells determined local tactics largely independently and staged attacks under a variety of names. It had members throughout Italy but was most active in the industrial cities of the north. The group split into factions and ultimately dissolved after the arrest of several of its members.",1.0,Italy,matched (3),12.75357437133789,43.97100067138672
37,143,Asa'ib Ahl al-Haq,2006.0,0.0,1.0,1.0,"Asaib Ahl al-Haq (AAH) is an Iranian-funded Shiite militant and political organization that split off from the Mahdi Army in 2006 under the leadership of Qais al-Khazali. The group is funded by Iran and promotes Irans interests in Iraq. It primarily targeted U.S. troops prior to the U.S. withdrawal from Iraq in 2011 after which point AAH rebranded itself as a political organization. However since the rise of the Islamic State (IS) in late 2013, the AAH has been militarily active fighting alongside the Iraq government against IS.",1.0,Iraq,matched (3),39.19674301147461,32.15494155883789
38,145,Ummah Tamir-e-Nau,2000.0,2002.0,0.0,1.0,"Ummah Tameer-e-Nau (UTN) was founded by Pakistani nuclear scientist, Dr. Sultan Bashiruddin Mahmood, in June 2000. Formed as a charity relief agency, Dr. Mahmood used the organization as a front to assist the Taliban and Al Qaeda in acquiring nuclear technology and other high-tech weapons. UTNs membership base consisted of engineers, physicists, chemists, former military and intelligence officials. After UTN members were found to be discussing nuclear weapons technology with Al Qaedas leadership, the organization was banned in Pakistan in 2002.",1.0,Pakistan,matched (3),63.230438232421875,29.473697662353516
39,147,Sipah-e-Sahaba Pakistan ,1985.0,0.0,1.0,1.0,"The Sipah-e-Sahaba Pakistan (SSP) was founded with state support in 1985 and has since been the dominant anti-Shiite religious-political organization in Pakistan. Using politics and sectarian violence, the SSP aims to conform Pakistani society to its rigid interpretation of Deobandi Islam. The group's offshoot, Lashkar-e-Jhangvi (LeJ), serves as an ultra-violent faction of the same movement, and the two have long-standing ties to other militant groups, including al Qaeda. SSP and LeJ's growing links to the Tehrik-e-Taliban Pakistan (TTP) have led some analysts to consider some of their members to be part of an umbrella group called the Punjabi Taliban, named after the groups' traditional base and where they retain ties to the provincial government.",1.0,Pakistan -- All,matched (3),29.473697662353516,63.230438232421875
40,149,Communist Party of the PhilippinesNew People's Army,1968.0,0.0,1.0,1.0,"The Communist Party of the PhilippinesNew Peoples Army (CPP-NPA) seeks to overthrow the Philippine government in favor of a new state led by the working class and to expel U.S. influence from the Philippines. The Communist Party of the Philippines (CPP) was founded in 1968, and its armed wing, the New Peoples Army (NPA), was founded in 1969; because they are so closely intertwined, they are often referred to as the CPP-NPA. The CPP-NPA has historically focused on building support among the rural peasantry, although it has operated throughout the Philippines. While it peaked in size and influence in the 1970s and 1980s, the CPP-NPA still engages in significant levels of violence and is the worlds oldest existing Communist insurgency.",1.0,Philippines,matched (3),121.51332092285156,19.249160766601562
41,152,Abu Sayyaf Group,1991.0,0.0,1.0,1.0,"The Abu Sayyaf Group (ASG) is an Islamic separatist organization in the Philippines founded by Abdurajak Abubakar Janjalani in 1991. Heavily influenced by Al Qaeda in its early stages, the ASG started as a splinter group of the Moro National Liberation Front (MNLF) and seeks an independent Muslim state in the southern Philippines. In the early 2000s, the ASG attracted attention through high-profile bombings, assassinations, kidnappings, and attacks. It is regarded as the most dangerous group in the Philippines.",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
42,153,Armed Communist Formations,1975.0,1976.0,0.0,0.0,"Armed Communist Formations (FCA) was a small short-lived, left-wing Italian group active primarily in Milan, Florence, and Rome, beginning in 1975. It had at most two dozen members. It is notable mostly for its many connections to other groups. Like many other Italian left-wing terrorist groups, it formed after the dissolution of the legal left-wing organization Worker Power. One of FCA's leaders helped form the Roman branch of the Red Brigades, Italy's main left-wing terrorist group; other FCA members founded the Union of Communist Combatants (UCC); still others founded Communist Revolutionary Committees (CoCoRi). FCA committed a handful of sabotage attacks and one intentional wounding over its year-and-a-half lifespan, and like other left-wing terrorist groups, used a variety of names. The group dissolved when most of its members left to join the Red Brigades. ",1.0,Italy,matched (3),12.75357437133789,43.97100067138672
43,188,First Fires of Insurgency,1977.0,1978.0,0.0,0.0,"First Fires of Insurgency was a small, short-lived left-wing group based in the poor regions of southern Italy. It lasted only a year, and dissolved with the arrest of its leaders. ",1.0,,master only (1),0.0,0.0
44,215,Lashkar-e-Jhangvi,1995.0,0.0,1.0,1.0,"Lashkar-e-Jhangvi (LeJ) is a militant group in Pakistan most known for its frequent, violent attacks against Shiites in the region. The group is an offshoot of the Deobandi Sunni organization Sipah-i-Sahaba (SiS). Former SiS militants Riaz Basra, Malik Ishaq, and Akram Lahori founded LeJ in 1996 after breaking away from SiS, claiming that SiS had deviated from its founders teachings. Since then, LeJ has fueled sectarian violence in the region by killing hundreds of Shiites, while also targeting high-level politicians, other ethnic minorities in the region, and Western interests and influences. LeJ strives to establish a Sunni state in Pakistan and rid the country of Shiite influence. ",1.0,Global Al Qaeda,matched (3),32.15494155883789,39.19674301147461
