"","link_id","type","group1_id","group2_id","description","group1_name","group2_name","year","multiple","map_name","primary"
"37",1351,"Splinters",585,583,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.","The Islamic Unity Movement of Kurdistan","The Kurdistan Islamic Group",2001,1,"Kurdistan","Iraq"
"38",1351,"Splinters",585,583,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.","The Islamic Unity Movement of Kurdistan","The Kurdistan Islamic Group",2001,1,"Iraq","Iraq"
"39",1353,"Mergers",31,593,"The Al-Tawhid Islamic Front and the Second Soran Unit merged in September 2001 to form Jund al-Islam.","Second Soran Unit","Jund al-Islam",2001,1,"Iraq","Iraq"
"40",1353,"Mergers",31,593,"The Al-Tawhid Islamic Front and the Second Soran Unit merged in September 2001 to form Jund al-Islam.","Second Soran Unit","Jund al-Islam",2001,1,"Kurdistan","Iraq"
"41",311,"Rivals",1,29,"Hamas Iraq allegedly worked with U.S. forces and the U.S.-funded Sons of Iraq in their 2007-2008 offensive against AQI in the Diyala province.","The Islamic State","Hamas Iraq",2007,0,"Iraq","Iraq"
"42",293,"Affiliates",21,19,"The merger of AQY and Saudi members of Al Qaeda into AQAP was acknowledged and condoned by AQ's central leadership.  AQAP has remained loyal to AQ central leadership and remains an affiliate of the larger Al Qaeda network.","Al Qaeda","Al Qaeda in the Arabian Peninsula",2009,1,"Global Islamic State","Global Al Qaeda"
"43",293,"Affiliates",21,19,"The merger of AQY and Saudi members of Al Qaeda into AQAP was acknowledged and condoned by AQ's central leadership.  AQAP has remained loyal to AQ central leadership and remains an affiliate of the larger Al Qaeda network.","Al Qaeda","Al Qaeda in the Arabian Peninsula",2009,1,"Global Al Qaeda","Global Al Qaeda"
"44",297,"Allies",1,23,"AQY-associated militants traveled to Iraq to assist AQI in its fight against the U.S.-coalition forces. ","The Islamic State","Al Qaeda in Yemen",2003,0,"Global Al Qaeda","Global Al Qaeda"
"45",1851,"Rivals",651,533,"Faylaq al-Rahman began fighting Jaysh al-Islam after Jaysh al-Islam allegedly attempted to assassinate a member of the Unified Judiciary Council, the court system that settles disputes between militant groups and between civilians in the Damascus governorate.","Faylaq al-Rahman","Jaysh al-Islam",2016,0,"Syria","Syria"
"46",1339,"Splinters",585,577,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.","The Islamic Unity Movement of Kurdistan","The Reformist Group",2001,0,"Iraq","Iraq"
"47",1335,"Splinters",585,577,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.","The Islamic Unity Movement of Kurdistan","The Reformist Group",2001,0,"Iraq","Iraq"
"48",1337,"Splinters",585,577,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.","The Islamic Unity Movement of Kurdistan","The Reformist Group",2001,0,"Iraq","Iraq"
"49",1341,"Splinters",585,573,"An AQI leader accused the MA of instructing its members to kill AQI operatives and of joining the U.S.-aligned Awakening Councils that were fighting AQI.","The Islamic Unity Movement of Kurdistan","Kurdish Hamas",2001,1,"Kurdistan","Iraq"
"50",1343,"Splinters",585,573,"In 2008, an AQI leader accused the MA of issuing orders to kill AQI members and of participating in the Sunni Awakening. The Mujahideen Army rejected those claims as ""hideous slander"" and in turn accused AQI of targeting members of the Mujahideen Army.","The Islamic Unity Movement of Kurdistan","Kurdish Hamas",2001,1,"Kurdistan","Iraq"
"51",1341,"Splinters",585,573,"Although the MA had previously denounced IS, the two groups first came into military conflict outside of the town of Al-Karma in spring 2014.","The Islamic Unity Movement of Kurdistan","Kurdish Hamas",2001,1,"Iraq","Iraq"
"52",1343,"Splinters",585,573,"An AQI leader accused the MA of instructing its members to kill AQI operatives and of joining the U.S.-aligned Awakening Councils that were fighting AQI.","The Islamic Unity Movement of Kurdistan","Kurdish Hamas",2001,1,"Iraq","Iraq"
"53",267,"Rivals",3,1,"In 2008, an AQI leader accused the MA of issuing orders to kill AQI members and of participating in the Sunni Awakening. The Mujahideen Army rejected those claims as ""hideous slander"" and in turn accused AQI of targeting members of the Mujahideen Army.","Mujahideen Army","The Islamic State",2008,1,"Global Al Qaeda","Iraq"
"54",1375,"Rivals",3,1,"Although the MA had previously denounced IS, the two groups first came into military conflict outside of the town of Al-Karma in spring 2014.","Mujahideen Army","The Islamic State",2008,1,"Global Al Qaeda","Iraq"
"55",1429,"Rivals",3,1,"Ansar al-Islam provided Al Qaeda operatives sanctuary after they fled Afghanistan in late 2001 following the U.S. invasion.","Mujahideen Army","The Islamic State",2014,1,"Global Al Qaeda","Iraq"
"56",267,"Rivals",3,1,"Ansar al-Islam provided Al Qaeda operatives sanctuary after they fled Afghanistan in late 2001 following the U.S. invasion.","Mujahideen Army","The Islamic State",2008,1,"Iraq","Iraq"
"57",1375,"Rivals",3,1,"Ansar al-Islam provided Al Qaeda operatives sanctuary after they fled Afghanistan in late 2001 following the U.S. invasion.","Mujahideen Army","The Islamic State",2008,1,"Iraq","Iraq"
"58",1429,"Rivals",3,1,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.","Mujahideen Army","The Islamic State",2014,1,"Iraq","Iraq"
"59",263,"Allies",13,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).","Ansar al-Islam","Al Qaeda",2002,1,"Global Islamic State","Global Al Qaeda"
"60",263,"Allies",13,21,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.","Ansar al-Islam","Al Qaeda",2002,1,"Iraq","Global Al Qaeda"
"61",263,"Allies",13,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).","Ansar al-Islam","Al Qaeda",2002,1,"Global Al Qaeda","Global Al Qaeda"
"62",265,"Affiliates",1,21,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.","The Islamic State","Al Qaeda",2004,1,"Iraq","Global Al Qaeda"
"63",1803,"Splinters",1,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).","The Islamic State","Al Qaeda",2014,1,"Iraq","Global Al Qaeda"
"64",265,"Affiliates",1,21,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.","The Islamic State","Al Qaeda",2004,1,"Syria","Global Al Qaeda"
"65",1803,"Splinters",1,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).","The Islamic State","Al Qaeda",2014,1,"Syria","Global Al Qaeda"
"66",265,"Affiliates",1,21,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.","The Islamic State","Al Qaeda",2004,1,"North Africa","Global Al Qaeda"
"67",1803,"Splinters",1,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).","The Islamic State","Al Qaeda",2014,1,"North Africa","Global Al Qaeda"
"68",265,"Affiliates",1,21,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. ","The Islamic State","Al Qaeda",2004,1,"Global Islamic State","Global Al Qaeda"
"69",1803,"Splinters",1,21,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. ","The Islamic State","Al Qaeda",2014,1,"Global Islamic State","Global Al Qaeda"
"70",265,"Affiliates",1,21,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. ","The Islamic State","Al Qaeda",2004,1,"Global Al Qaeda","Global Al Qaeda"
"71",1803,"Splinters",1,21,"FARC's leader, Timonchenko, said it absolutely necessary for the ELN to join the 2015 peace talks for the sake of peace within the country.","The Islamic State","Al Qaeda",2014,1,"Global Al Qaeda","Global Al Qaeda"
"72",661,"Affiliates",89,87,"The FARC and ELN battled for local control in contested territory, namely, Antioquia through Choco.","Revolutionary Armed Forces of Colombia - People's Army","National Liberation Army (Colombia)",1967,0,"Colombia","Colombia"
"73",663,"Affiliates",89,87,"The FARC and the ELN proposed an alliance after months jointly targeting the government. ","Revolutionary Armed Forces of Colombia - People's Army","National Liberation Army (Colombia)",1967,0,"Colombia","Colombia"
"74",665,"Affiliates",89,87,"Assisted by Kenyan forces, the Ras Kamboni Movement captured the town of Ras Kamboni in southern Somalia, driving Al Shabaab from the area.","Revolutionary Armed Forces of Colombia - People's Army","National Liberation Army (Colombia)",1967,0,"Colombia","Colombia"
"75",765,"Allies",89,87,"The SSU split from the IMK in 1998 under the leadership of Aso Hawleri in response to the IMKs 1997 truce with the Patriotic Union of Kurdistan (PUK) and the SSUs perception that Iranian influence over the IMK leadership was increasing","Revolutionary Armed Forces of Colombia - People's Army","National Liberation Army (Colombia)",2015,0,"Colombia","Colombia"
"76",875,"Rivals",89,87,"Shortly after it split from the IMK in 1998, the Second Soran Unit wrested the city of Biyara from IMK control, and used it as a base from which to launch its operations for the following several years.","Revolutionary Armed Forces of Colombia - People's Army","National Liberation Army (Colombia)",2000,0,"Colombia","Colombia"
"77",883,"Allies",89,87,"The SSU split from the IMK in 1998 under the leadership of Aso Hawleri in response to the IMKs 1997 truce with the Patriotic Union of Kurdistan (PUK) and the SSUs perception that Iranian influence over the IMK leadership was increasing","Revolutionary Armed Forces of Colombia - People's Army","National Liberation Army (Colombia)",2009,0,"Colombia","Colombia"
"78",1637,"Rivals",61,489,"Shortly after it split from the IMK in 1998, the Second Soran Unit wrested the city of Biyara from IMK control, and used it as a base from which to launch its operations for the following several years.","Al Shabaab","Ras Kamboni Movement ",2011,0,"Somalia","Somalia"
"79",259,"Splinters",25,31,"Kurdish Hamas and Tawhid merged in summer 2001 to form the Al-Tawhid Islamic Front.","Islamic Movement of Kurdistan","Second Soran Unit",1998,1,"Kurdistan","Iraq"
"80",1469,"Rivals",25,31,"Kurdish Hamas and Tawhid merged in summer 2001 to form the Al-Tawhid Islamic Front.","Islamic Movement of Kurdistan","Second Soran Unit",1998,1,"Kurdistan","Iraq"
"81",259,"Splinters",25,31,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.","Islamic Movement of Kurdistan","Second Soran Unit",1998,1,"Iraq","Iraq"
"82",1469,"Rivals",25,31,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.","Islamic Movement of Kurdistan","Second Soran Unit",1998,1,"Iraq","Iraq"
"83",1459,"Mergers",573,27,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.","Kurdish Hamas","Al-Tawhid Islamic Front",2001,1,"Kurdistan","Iraq"
"84",1459,"Mergers",573,27,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.","Kurdish Hamas","Al-Tawhid Islamic Front",2001,1,"Iraq","Iraq"
"85",1395,"Rivals",587,25,"The IMK and PUK signed a ceasefire agreement and have cooperated (not aligned) in the Kurdish Regional Government since 1998.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1993,1,"Kurdistan","Iraq"
"86",1397,"Rivals",587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1993,1,"Kurdistan","Iraq"
"87",1399,"Rivals",587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1993,1,"Kurdistan","Iraq"
"88",1393,"Rivals",587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1993,1,"Kurdistan","Iraq"
"89",1403,"Allies",587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1997,1,"Kurdistan","Iraq"
"90",1395,"Rivals",587,25,"The IMK and PUK signed a ceasefire agreement and have cooperated (not aligned) in the Kurdish Regional Government since 1998.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1993,1,"Iraq","Iraq"
"91",1397,"Rivals",587,25,"The Mahdi Army has been tied to Hezbollah since its inception. In April 2003, the initial members of the Army were trained by small Hezbollah groups inside Iraq.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1993,1,"Iraq","Iraq"
"92",1399,"Rivals",587,25,"Following the Mahdi Army's campaign to take control of the west bank of the Tigris, AQI issued a statement calling for all Sunnis to help fight against the Mahdi Army.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1993,1,"Iraq","Iraq"
"93",1393,"Rivals",587,25,"Muqtada al-Sadr remobilized the Mahdi Army (now called the ""Peace Brigades"") to fight with the Iraqi government against IS in June 2014.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1993,1,"Iraq","Iraq"
"94",1403,"Allies",587,25,"Al Shabaab, which had served as the main militant wing of the Islamic Courts Union (ICU), became an independent group as the ICU began to collapse.","Patriotic Union of Kurdistan","Islamic Movement of Kurdistan",1997,1,"Iraq","Iraq"
"95",271,"Allies",81,57,"The Ras Kamboni Brigade and Al Shabaab conducted a joint attack on the Somali city of Kismayo.","Hezbollah","Mahdi Army",2003,0,"Iraq","Iraq"
"96",341,"Rivals",57,1,"One faction of the Ras Kamboni Brigade formally joined Al Shabaab and ceased to exist as a separate organization. ","Mahdi Army","The Islamic State",2007,0,"Iraq","Iraq"
"97",1447,"Rivals",57,1,"UTN and ART are affiliates. UTN\'s declared goal was reconstruction of Afghanistan for which ART was to provide the group with funds.","Mahdi Army","The Islamic State",2014,0,"Iraq","Iraq"
