link_id,type,group1_id,group2_id,description,group1_name,group2_name,year,multiple,map_name
1343,spl,585,573,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.",The Islamic Unity Movement of Kurdistan,Kurdish Hamas,2001,1,Iraq
267,riv,3,1,An AQI leader accused the MA of instructing its members to kill AQI operatives and of joining the U.S.-aligned Awakening Councils that were fighting AQI.,Mujahideen Army,The Islamic State,2008,1,Global Al Qaeda
1375,riv,3,1,"In 2008, an AQI leader accused the MA of issuing orders to kill AQI members and of participating in the Sunni Awakening. The Mujahideen Army rejected those claims as ""hideous slander"" and in turn accused AQI of targeting members of the Mujahideen Army.",Mujahideen Army,The Islamic State,2008,1,Global Al Qaeda
1429,riv,3,1,"Although the MA had previously denounced IS, the two groups first came into military conflict outside of the town of Al-Karma in spring 2014.",Mujahideen Army,The Islamic State,2014,1,Global Al Qaeda
267,riv,3,1,An AQI leader accused the MA of instructing its members to kill AQI operatives and of joining the U.S.-aligned Awakening Councils that were fighting AQI.,Mujahideen Army,The Islamic State,2008,1,Iraq
1375,riv,3,1,"In 2008, an AQI leader accused the MA of issuing orders to kill AQI members and of participating in the Sunni Awakening. The Mujahideen Army rejected those claims as ""hideous slander"" and in turn accused AQI of targeting members of the Mujahideen Army.",Mujahideen Army,The Islamic State,2008,1,Iraq
1429,riv,3,1,"Although the MA had previously denounced IS, the two groups first came into military conflict outside of the town of Al-Karma in spring 2014.",Mujahideen Army,The Islamic State,2014,1,Iraq
263,all,13,21,Ansar al-Islam provided Al Qaeda operatives sanctuary after they fled Afghanistan in late 2001 following the U.S. invasion.,Ansar al-Islam,Al Qaeda,2002,1,Global Islamic State
263,all,13,21,Ansar al-Islam provided Al Qaeda operatives sanctuary after they fled Afghanistan in late 2001 following the U.S. invasion.,Ansar al-Islam,Al Qaeda,2002,1,Iraq
263,all,13,21,Ansar al-Islam provided Al Qaeda operatives sanctuary after they fled Afghanistan in late 2001 following the U.S. invasion.,Ansar al-Islam,Al Qaeda,2002,1,Global Al Qaeda
265,aff,1,21,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.",The Islamic State,Al Qaeda,2004,1,Iraq
1803,spl,1,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).",The Islamic State,Al Qaeda,2014,1,Iraq
265,aff,1,21,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.",The Islamic State,Al Qaeda,2004,1,Syria
1803,spl,1,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).",The Islamic State,Al Qaeda,2014,1,Syria
265,aff,1,21,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.",The Islamic State,Al Qaeda,2004,1,North Africa
1803,spl,1,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).",The Islamic State,Al Qaeda,2014,1,North Africa
265,aff,1,21,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.",The Islamic State,Al Qaeda,2004,1,Global Islamic State
1803,spl,1,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).",The Islamic State,Al Qaeda,2014,1,Global Islamic State
265,aff,1,21,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.",The Islamic State,Al Qaeda,2004,1,Global Al Qaeda
1803,spl,1,21,"In April 2013, Islamic State (IS) Emir Abu Bakr al-Baghdadi declared that Jabhat al-Nusra (Al-Nusra) and AQI would merge under the name ""Islamic State in Iraq and Syria,"" but Al-Nusra leader Abu Muhammad al-Julani denied the merger and re-pledged allegiance to Al Qaeda (AQ) commander Ayman al-Zawahiri. Although Zawahiri supported Al-Nusra, saying that the organizations should remain separate, Baghdadi rejected Zawahiri's statement. AQ officially renounced any affiliation with IS in February 2014, before it became the Islamic State (IS).",The Islamic State,Al Qaeda,2014,1,Global Al Qaeda
661,aff,89,87,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. ",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia),1967,0,Colombia
663,aff,89,87,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. ",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia),1967,0,Colombia
665,aff,89,87,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. ",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia),1967,0,Colombia
765,all,89,87,"FARC's leader, Timonchenko, said it absolutely necessary for the ELN to join the 2015 peace talks for the sake of peace within the country.",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia),2015,0,Colombia
875,riv,89,87,"The FARC and ELN battled for local control in contested territory, namely, Antioquia through Choco.",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia),2000,0,Colombia
883,all,89,87,The FARC and the ELN proposed an alliance after months jointly targeting the government. ,Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia),2009,0,Colombia
1637,riv,61,489,"Assisted by Kenyan forces, the Ras Kamboni Movement captured the town of Ras Kamboni in southern Somalia, driving Al Shabaab from the area.",Al Shabaab,Ras Kamboni Movement ,2011,0,Somalia
259,spl,25,31,The SSU split from the IMK in 1998 under the leadership of Aso Hawleri in response to the IMKs 1997 truce with the Patriotic Union of Kurdistan (PUK) and the SSUs perception that Iranian influence over the IMK leadership was increasing,Islamic Movement of Kurdistan,Second Soran Unit,1998,1,Kurdish Conflict
1469,riv,25,31,"Shortly after it split from the IMK in 1998, the Second Soran Unit wrested the city of Biyara from IMK control, and used it as a base from which to launch its operations for the following several years.",Islamic Movement of Kurdistan,Second Soran Unit,1998,1,Kurdish Conflict
259,spl,25,31,The SSU split from the IMK in 1998 under the leadership of Aso Hawleri in response to the IMKs 1997 truce with the Patriotic Union of Kurdistan (PUK) and the SSUs perception that Iranian influence over the IMK leadership was increasing,Islamic Movement of Kurdistan,Second Soran Unit,1998,1,Iraq
1469,riv,25,31,"Shortly after it split from the IMK in 1998, the Second Soran Unit wrested the city of Biyara from IMK control, and used it as a base from which to launch its operations for the following several years.",Islamic Movement of Kurdistan,Second Soran Unit,1998,1,Iraq
1459,mer,573,27,Kurdish Hamas and Tawhid merged in summer 2001 to form the Al-Tawhid Islamic Front.,Kurdish Hamas,Al-Tawhid Islamic Front,2001,1,Kurdish Conflict
1459,mer,573,27,Kurdish Hamas and Tawhid merged in summer 2001 to form the Al-Tawhid Islamic Front.,Kurdish Hamas,Al-Tawhid Islamic Front,2001,1,Iraq
1395,riv,587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1993,1,Kurdish Conflict
1397,riv,587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1993,1,Kurdish Conflict
1399,riv,587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1993,1,Kurdish Conflict
1393,riv,587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1993,1,Kurdish Conflict
1403,all,587,25,The IMK and PUK signed a ceasefire agreement and have cooperated (not aligned) in the Kurdish Regional Government since 1998.,Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1997,1,Kurdish Conflict
1395,riv,587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1993,1,Iraq
1397,riv,587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1993,1,Iraq
1399,riv,587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1993,1,Iraq
1393,riv,587,25,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1993,1,Iraq
1403,all,587,25,The IMK and PUK signed a ceasefire agreement and have cooperated (not aligned) in the Kurdish Regional Government since 1998.,Patriotic Union of Kurdistan,Islamic Movement of Kurdistan,1997,1,Iraq
271,all,81,57,"The Mahdi Army has been tied to Hezbollah since its inception. In April 2003, the initial members of the Army were trained by small Hezbollah groups inside Iraq.",Hezbollah,Mahdi Army,2003,0,Iraq
341,riv,57,1,"Following the Mahdi Army's campaign to take control of the west bank of the Tigris, AQI issued a statement calling for all Sunnis to help fight against the Mahdi Army.",Mahdi Army,The Islamic State,2007,0,Iraq
1447,riv,57,1,"Muqtada al-Sadr remobilized the Mahdi Army (now called the ""Peace Brigades"") to fight with the Iraqi government against IS in June 2014.",Mahdi Army,The Islamic State,2014,0,Iraq
1615,spl,107,61,"Al Shabaab, which had served as the main militant wing of the Islamic Courts Union (ICU), became an independent group as the ICU began to collapse.",Islamic Courts Union,Al Shabaab,2006,0,Somalia
1617,all,61,487,The Ras Kamboni Brigade and Al Shabaab conducted a joint attack on the Somali city of Kismayo.,Al Shabaab,Ras Kamboni Brigade,2008,0,Somalia
1643,mer,61,487,One faction of the Ras Kamboni Brigade formally joined Al Shabaab and ceased to exist as a separate organization. ,Al Shabaab,Ras Kamboni Brigade,2010,0,Somalia
343,aff,145,117,UTN and ART are affiliates. UTN\'s declared goal was reconstruction of Afghanistan for which ART was to provide the group with funds.,Ummah Tamir-e-Nau,Al Rashid Trust,2000,1,Pakistan -- All
343,aff,145,117,UTN and ART are affiliates. UTN\'s declared goal was reconstruction of Afghanistan for which ART was to provide the group with funds.,Ummah Tamir-e-Nau,Al Rashid Trust,2000,1,Pakistan
349,aff,117,79,ART and LeT affiliates. ,Al Rashid Trust,Lashkar-e-Taiba,1997,1,Pakistan -- All
349,aff,117,79,ART and LeT affiliates. ,Al Rashid Trust,Lashkar-e-Taiba,1997,1,Pakistan
347,all,117,21,ART and AQ allies. ART publicly became associated with Al Qaeda when it started using a British internet site called the Global Jihad Fund (which openly associated itself with Osama bin Laden) to solicit support for various jihad movements.  ,Al Rashid Trust,Al Qaeda,1996,1,Pakistan -- All
347,all,117,21,ART and AQ allies. ART publicly became associated with Al Qaeda when it started using a British internet site called the Global Jihad Fund (which openly associated itself with Osama bin Laden) to solicit support for various jihad movements.  ,Al Rashid Trust,Al Qaeda,1996,1,Pakistan
351,aff,117,95,ART and JeM affiliates. ART and JeM are reported to have shared office spaces across Pakistan and to have had overlapping membership support.,Al Rashid Trust,Jaish-e-Mohammad,2000,1,Pakistan -- All
357,all,117,95,ART has had an alliance with JeM because of overlapping leaderships. ,Al Rashid Trust,Jaish-e-Mohammad,2000,1,Pakistan -- All
351,aff,117,95,ART and JeM affiliates. ART and JeM are reported to have shared office spaces across Pakistan and to have had overlapping membership support.,Al Rashid Trust,Jaish-e-Mohammad,2000,1,Pakistan
357,all,117,95,ART has had an alliance with JeM because of overlapping leaderships. ,Al Rashid Trust,Jaish-e-Mohammad,2000,1,Pakistan
353,mer,117,111,ART merges into AKT,Al Rashid Trust,Al Akhtar Trust,2001,1,Pakistan -- All
353,mer,117,111,ART merges into AKT,Al Rashid Trust,Al Akhtar Trust,2001,1,Pakistan
355,all,111,95,"AKT and JeM allies. AKT has had an alliance with JeM because of overlapping leaderships. Maulana Masood Azhar, leader of JeM, played a role in the formation of AKT.",Al Akhtar Trust,Jaish-e-Mohammad,2001,1,Pakistan -- All
355,all,111,95,"AKT and JeM allies. AKT has had an alliance with JeM because of overlapping leaderships. Maulana Masood Azhar, leader of JeM, played a role in the formation of AKT.",Al Akhtar Trust,Jaish-e-Mohammad,2001,1,Pakistan
359,all,95,79,LeT and JeM were allies in operations across the Line of Control against Indian targets. ,Jaish-e-Mohammad,Lashkar-e-Taiba,2000,1,Global Al Qaeda
655,riv,95,79,"JeM is considered a rival of LeT, due to their competition for Pakistani ISI financial and operational support.",Jaish-e-Mohammad,Lashkar-e-Taiba,2000,1,Global Al Qaeda
