group_id,group_name,page_url,old_description,description,last_updated,start_year,end_year,active,complete,on_any_map,first_attack,last_attack,init_size_members,init_size_year,min_size_members,min_size_year,max_size_members,max_size_year,founding_city,founding_province,founding_country,founding_notes,us_designated,un_designated,other_designated,other_designated_names,state_sponsor,state_sponsor_names,Notes
395,Al Qaeda Kurdish Battalions,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-qaeda-kurdish-battalions,"Al Qaeda Kurdish Battalions (AQKB) is a Kurdish, Salafi militant organization affiliated with Al Qaeda (AQ) that operates in Iraqi Kurdistan. Since its formation in March 2007, the group has a primarily targeted the Kurdistan Regional Government. However, beginning in April 2014, AQKB may also be engaged fighting the Islamic State (IS).","Al Qaeda Kurdish Battalions (AQKB) is a Kurdish, Salafist militant organization affiliated with Al Qaeda (AQ) that operates in Iraqi Kurdistan. ",03/00/2017,2007,0,1,1,1,05/00/2007,09/00/2010,NA,NA,NA,NA,NA,NA,Erbil,,Iraq,first attack location,1,0,1,Canada,0,,
61,Al Shabaab,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-shabaab,"Al Shabaab, meaning ""The Youth"" in Arabic, is the largest militant organization fighting to oust the Somalian government. The group seeks to control territory within Somalia in order to establish a society based on its rigid interpretation of Shariah law. Although based in Somalia, Al Shabaab also conducts attacks in neighboring countries, such as Kenya. Al Shabaab emerged as an independent organization around December 2006 after breaking away from the Islamic Courts Union (ICU), for which it had served as the military wing. Since the late 2000s, Al Shabaab has had close ties to Al Qaeda and has sought to frame the Somalian struggle as part of a global jihad. The group has engaged in bombings, suicide attacks, and armed assaults, especially against Somalian government targets, non-Christians, private citizens, foreign troops, diplomats, and aid or nongovernmental organization workers.",Al Shabaab is an affiliate organization of Al Qaeda fighting to oust the Somali government and the foreign military presence supporting it.,01/00/2019,2006,0,1,1,1,03/26/2007,01/15/2019,"6,000",2008,"5,000",2013,"9,000",2017,Mogadishu,,Somalia,first attack location,1,0,0,,1,"Eritrea, Djibouti, Iran, Syria, Libya, Egypt, and Saudi Arabia",
27,Al-Tawhid Islamic Front,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-tawhid-islamic-front,"In July 2001, two splinter groups of the Islamic Movement in Kurdistan -- Kurdish Hamas and Tawhid -- merged to formed Al-Tawhid Islamic Front (TIF). TIF's life as an independent group was relatively short; it existed as an autonomous entity for three months in the summer of 2001 and was not credited with any major attacks. In September 2001, TIF merged with the Second Soran Unit to form Jund al-Islam.","On July 1, 2001, Tawhid and Hamas in Iraq (not to be confused with the unrelated Palestinian Hamas), two violent splinter groups of the Islamic Movement of Kurdistan (IMK), merged to form al-Tawhid Islamic Front (TIF).",08/00/2015,2001,2001,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,,0,,no recorded geographic locations
813,Ambazonia Defense Forces,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ambazonia-defense-forces,The Ambazonia Defense Forces is a separatist militant organization that fights for an independent anglophone state in Cameroon.,The Ambazonia Defense Forces is a separatist militant organization that fights for an independent anglophone state in Cameroon.,04/00/2019,2017,0,1,1,0,09/09/2017,04/01/2019,100,2018,NA,NA,NA,NA,Besongabang,,Cameroon,first attack location,0,0,1,Cameroon,0,,
13,Ansar al-Islam,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansar-al-islam,"Ansar al-Islam (AI) is a predominantly Kurdish Salafist militant organization based in Iraqi Kurdistan. The group was formed in December 2001 by a merger of several other Kurdish Islamist groups. AI had ties with Al Qaeda and fought against secular Kurdish groups as well as the U.S.-led coalition and the Iraqi government. Since 2011, the group has also fought alongside Jabhat al-Nusra and the Islamic Front in Syria. Although it had previously opposed the Islamic State (IS), AI¬¨√≠s leadership announced that the group was disbanding and merging with IS in August 2014. However, the Syrian branch of AI rejected the merger and has continued to operate in Syria as Ansar al-Islam, occasionally clashing with IS as well as the Assad government and other insurgent groups.",Ansar al-Islam is a Kurdish Salafist militant organization based in Iraqi Kurdistan and operating in Syria. ,12/00/2018,2001,2014,0,1,1,00/00/2002,04/21/2014,350,2001,350,2001,1000,2009,Sulaymaniyah,,Iraq,first attack location,1,1,1,"Australia, New Zealand, Canada, and the EU",1,"Iraq, Iran",
531,Ansar al-Sham,https://web.stanford.edu/group/mappingmilitants/cgi-bin/groups/print_view/531,"Ansar al-Sham, also known as Kataib Ansar al-Sham (Supporters of the Levant), was a Sunni Salafist militant group that aimed to replace the Assad Regime with an Islamic government. The group was formed in 2012 in Syria¬ís Latakia governorate, and became active in Idlib and Aleppo as well. Ansar al-Sham targeted the Assad Regime¬ís forces and sympathizers. However, unlike other former members of the Islamic Front umbrella group, Ansar al-Sham did not oppose the Islamic State. Ansar al-Sham rarely worked alone, and often cooperated with Jabhat Fatah al-Sham, formerly known as Jabhat al-Nusra (Al-Nusra). The group was most known for its participation in a March 2014 offensive in Latakia that was lead by other opposition groups, such as Al-Nusra. After this offensive, Ansar al-Sham had few notable attacks and was mostly engaged in skirmishes with the Syrian army in Latakia. Following a series of skirmishes between opposition groups in the Idlib governorate, Ansar al-Sham joined Hay'at Tahrir al-Sham, formerly known as Jabhat Fatah al-Sham, on February 7, 2017.","Ansar al-Sham (also known as Kataib Ansar al-Sham, “Supporters of the Levant Brigade”) was an Islamist opposition group active in the Syrian Civil War. ",02/00/2017,2012,2017,0,1,1,10/00/2012,08/02/2015,2500,2014,2500,2014,2500,2014,,Latakia,Syria,,0,0,0,,1,Saudi Arabia,old website link
545,Ansar al-Shariah (Libya),https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansar-al-shariah-libya,"Ansar al-Shariah in Libya (ASL) is an Islamist militant group that formed in the aftermath of the Libyan uprising against Muammar el-Qaddafi in February 2011. ASL aims to establish a strict implementation of Shariah law in Libya, does not tolerate interpretations of Islam other than its own, and opposes democracy. ASL fights the Libyan government and its armed forces, and at the same time seeks to gain popular support through extensive charitable actions in Libyan communities. In 2013, ASL expanded its operations, effectively occupying territory in Benghazi, Derna, Sirte and Ajdabiya. In February 2015, after the Libyan military targeted Islamist groups during Operation Dignity, ASL lost most of the territory it occupied to Libyan forces. As of March 3, 2016, ASL forces are currently fighting to defend their remaining strongholds in Ajdabiya, Benghazi and Derna.",Ansar al-Shariah in Libya (ASL) is a Salafist Islamist militant group that formed in the aftermath of the February 2011 Libyan uprising against Muammar el-Qaddafi.,07/00/2018,2011,0,1,1,1,08/25/2012,01/15/2017,200,2012,200,2012,5000,2012,Benghazi,,Libya,,1,1,1,"Turkey, UAE, UK, New Zealand",0, ,
547,Ansar al-Shariah (Tunisia),https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansar-al-shariah-tunisia,"Ansar al-Shariah in Tunisia (AST) is a Salafi-Jihadist militant organization established in 2011 that combines community service, proselytization, and violence to promote its Salafi ideology and goals in Tunisia. The group aims to establish Shariah law in Tunisia and promotes the idea of global jihad. The group targets the Tunisian government and armed forces, utilizing a dawa, or charitable works, campaign to gain trust among Tunisian communities. Since its establishment, AST has supported Al Qaeda; however, in July 2014, AST¬ís spokesman, Seifeddine Rais, swore loyalty to IS. It is unclear whether or not he spoke on behalf of AST or solely himself.","Ansar al-Shariah in Tunisia (AST) was a Salafi-jihadist militant organization established in 2011 that combined community service, proselytization, and violence to promote its Salafi ideology and goals in Tunisia.",07/00/2018,2011,0,1,1,1,09/14/2012,07/16/2014,30000,2012,1000,2013,70000,2014,Kairouan,,Tunisia,,1,1,1,"UK, Tunisia",0,,
11,Ansar al-Sunna Shariah,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/shariah-committee-ansar-al-sunnah,Ansar al-Sunna Sharia (AS Shariah) is an Iraqi nationalist organization that calls upon all sectors of the Iraqi public to support the end of foreign occupation in Iraq and implement Sharia Law in the nation. The group is speculated to have split from Ansar al-Islam in 2007 over objections to Al Qaeda in Iraqs's targeted killings of civilians. AS Shariah is a member of both the Jihad and Reform Front and the Political Council of Iraqi Resistance.,The Shariah Committee of Ansar al-Sunnah (AS Shariah) was an Iraqi nationalist organization that called upon all sectors of the Iraqi public to support the end of foreign occupation in Iraq and implement Sharia Law in the nation.,03/00/2019,2007,0,1,1,1,NA,00/00/2009,NA,NA,NA,NA,NA,NA,,,,,1,0,0,,0,,
437,Ansar Dine,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansar-dine,"Ansar Dine, translated as ¬ìDefenders of the Faith,¬î is an Islamic group founded in December 2011 by Iyad Ag Ghali. The group aims to establish Shariah law across Mali and targets western civilians and peacekeepers. Ansar Dine¬ís ideology closely mirrors that of Al Qaeda in the Islamic Maghreb (AQIM) and is reportedly a domestic front group for AQIM, though it has never been publicly recognized by AQIM as an official affiliate. Ansar Dine is best known for its takeover of northern Mali with the National Movement for the Liberation of Azawad (MNLA), AQIM and the Mouvement pour l¬íUnification et le Jihad en Afrique de l¬íOuest (MUJAO) after the Malian coup of 2012. Ansar Dine occupied and implemented Shariah law in Timbuktu and its environs from June 2012 until January 2013, when the French military intervened. In early July 2012, Ansar Dine made national headlines when it destroyed seven mausoleums in Timbuktu, which were part of a United Nations World Heritage site. The Macina Liberation Front (FLM) was allegedly formed as an affiliate to Ansar Dine for coordination of its operations in central and southern Mali.",Ansar Dine was an Islamic Tuareg militant organization operating in Mali.,07/00/2018,2011,0,1,1,1,03/00/2012,11/07/2016,101,1000,101,1000,1000,2012,,,Mali,,1,1,1,UAE,1,Qatar,
815,Ansaroul Islam,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ansaroul-islam,Ansaroul Islam is an Islamic militant organization operating in Burkina Faso and neighboring countries.,Ansaroul Islam is an Islamic militant organization operating in Burkina Faso and neighboring countries.,07/00/2018,2016,0,1,1,0,12/16/2016,02/26/2018,200,2017,NA,NA,NA,NA,,Soum,Burkina Faso,,1,0,0,,0,,
91,April 19 Movement,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/april-19-movement,"The April 19 Movement (M-19) was formed in 1974 by Jaime Bateman Cay√≥n, Antonio Navarro Wolff, and Carlos Toledo Plata to fight for democracy in Colombia. The M-19 was most known for its attacks on multinational corporations and embassies. In 1989, the guerrilla group became a legal political party and became the M-19 Democratic Alliance (AD M-19); the AD M-19 quickly achieved political success but after 1997, lost all political influence, and members gradually abandoned the party and joined the Independent Democratic Pole party and the Alternative Democratic Pole party. The Jaime Bateman Cay√≥n Group, a faction of the M-19 that did not demobilize, continued its militant activities until 2001.","The April 19 Movement (M-19) was a Colombian guerrilla group, formed in 1974, that became a political party in the late 1980s.",08/00/2015,1974,1989,0,1,1,02/00/1976,06/00/2001,1500,1985,500,1987,2000,1985,,,Colombia,,0,0,0,,1,"Cuba, Nicaragua, and Libya",best geographic location is Southern Front and Western Front in Colombia
247,Armed Proletarian Nuclei,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/armed-proletarian-nuclei,Armed Proletarian Nuclei (NAP) was Southern Italy's most powerful left-wing terrorist organization in the early 1970s. NAP fought against capitalism and promoted a classless society in Italy. The group focused on prisons as the ultimate symbol of state repression and had operational cells both within and outside of prisons. It struck an alliance with the Red Brigades in 1976 and dissolved soon afterward; the Red Brigades absorbed some of its remaining members and assets.,Armed Proletarian Nuclei (NAP) was Southern Italy's most powerful left-wing terrorist organization in the early 1970s. NAP fought against capitalism and promoted a classless society in Italy.,06/00/2012,1974,1978,0,1,1,07/25/1974,04/15/1978,NA,NA,NA,NA,NA,NA,Naples,,Italy,,0,0,0,,0,,
259,Armed Revolutionary Nuclei,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/armed-revolutionary-nuclei,"Armed Revolutionary Nuclei (NAR) was the main right-wing terrorist group of the second half of the 1970s. It became active shortly after Italy's ""first generation"" of right-wing terrorist groups, active from the mid-1950s to the mid-1970s, dissolved with the arrest of many of their members. NAR was perhaps the most active and violent of the neo-fascist groups, carrying out a large number of individual woundings and assassinations as well as claiming responsibility for the worst terrorist bombing in Italian history, which killed 85.",Armed Revolutionary Nuclei (NAR) was the largest and most violent right-wing terrorist organization in Italy during the second half of the 1970s.,04/00/2012,1977,1988,0,1,1,12/24/1977,08/14/1988,NA,NA,NA,NA,NA,NA,Rome,,Italy,first attack location,0,0,0,,0,,
143,Asa'ib Ahl al-Haq,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/asaib-ahl-al-haq,"Asa¬íib Ahl al-Haq (AAH) is an Iranian-funded Shiite militant and political organization that split off from the Mahdi Army in 2006 under the leadership of Qais al-Khazali. The group is funded by Iran and promotes Iran¬ís interests in Iraq. It primarily targeted U.S. troops prior to the U.S. withdrawal from Iraq in 2011 after which point AAH rebranded itself as a political organization. However since the rise of the Islamic State (IS) in late 2013, the AAH has been militarily active fighting alongside the Iraq government against IS.",The Asa'ib Ahl al-Haq group is a Shi'a milita group that is funded by Iran and that operates in Iraq and Syria.,07/00/2018,2006,0,1,1,1,07/00/2006,11/00/2017,3000,2007,1000,2014,10000,2015,Baghdad,,Iraq,,0,0,0,,1,Iran,
133,Asian Tigers,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/asian-tigers,"Asian Tigers is a militant group in Pakistan. It is a front of Hakat-ul-Jiahdi-Islami (HuJI) and falls in the umbrella of Tehreek-e-Taliban(TTP) Pakistan. The overall strength of the organization is unknown but it has been reported that the group is a splinter of TTP's Punjabi Taliban. The group is said to be critical over the distinction made within the Taliban ranks of who is considered 'Mujahid' and who is not. Mohammad Omar, alias Usman Punjabi, is the spokesman for the group.",Asian Tigers was a group of ethnically Punjabi militants operating in Pakistan that first gained attention in April of 2010.,02/00/2019,2010,0,1,1,1,05/00/2010,05/00/2010,30,2010,30,2010,40,2010,,North Waziristan Agency,Pakistan,,0,0,0,,0,,
765,Atomwaffen Division,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/atomwaffen-division,"The Atomwaffen Division (AWD) is an accelerationist neo-Nazi militant organization operating in the United States with affiliates overseas. The name ¬ìAtomwaffen¬î is German for ¬ìnuclear weapons.¬î AWD promotes the use of violence to overthrow the U.S. government, foment a race war, and establish a new society based on principles of national socialism and white supremacism. Founded in 2015, the group is known for its anti-Semitic, anti-LGBT, and apocalyptic beliefs. AWD has been linked to acts of violence in the United States, including killings, explosives and firearms offenses, and plots against critical infrastructure. Operating under a decentralized structure, AWD is divided into leaderless cells scattered across the country and has cultivated ties with white supremacist and neo-Nazi groups in Europe. Comprised primarily of young men, AWD was born from an online extreme-right message board and continues to recruit a following on the Internet. AWD¬ís ideology draws from SIEGE, a collection of writings by American neo-Nazi James Mason, a former member of the American Nazi Party, who serves as an advisor to the group. As of early 2020, most of the group¬ís identified leaders have been arrested by U.S. law enforcement. AWD claimed to disband in March 2020 but appears active.",The Atomwaffen Division is an accelerationist neo-Nazi militant organization that operated in the United States with multiple overseas affiliates.,08/00/2022,2015,0,1,1,1,05/19/2017,01/02/2018,24,2018,24,2018,80,2018,Tampa,,Florida,first attack location,0,0,1,Canada,0,,
779,Azov Battalion,https://cisac.fsi.stanford.edu/mappingmilitants/profiles/azov-battalion,"The Azov Battalion is a unit of the Ukrainian National Guard that promotes white supremacy extremism and neo-Nazi beliefs. With the aid of foreign fighters recruited from around the world, Azov has fought against pro-Russian separatists in the eastern half of the country. The group operates a political wing known as the National Corps and cultivates relationships with other extreme-right groups abroad.","The Azov Movement is a far-right nationalist network of military, paramilitary, and political organizations based in Ukraine. ",08/00/2022,2014,0,1,1,1,04/00/2014,08/00/2022,50,2014,50,2014,1500,2019,Mariupol,,Ukraine,,0,0,,,1,Ukraine,
