"group_id","group_name","start_year","end_year","active","complete","description","on_any_map","page_url","old_description","last_updated","first_attack","last_attack","init_size_members","init_size_year","min_size_members","min_size_year","max_size_members","max_size_year","founding_city","founding_province","founding_country","founding_notes","us_designated","un_designated","other_designated","other_designated_names","state_sponsor","state_sponsor_names","Notes"
27,"Al-Tawhid Islamic Front",2001,2001,0,1,"In July 2001, two splinter groups of the Islamic Movement in Kurdistan -- Kurdish Hamas and Tawhid -- merged to formed Al-Tawhid Islamic Front (TIF). TIF's life as an independent group was relatively short; it existed as an autonomous entity for three months in the summer of 2001 and was not credited with any major attacks. In September 2001, TIF merged with the Second Soran Unit to form Jund al-Islam.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-tawhid-islamic-front","In July 2001, two splinter groups of the Islamic Movement in Kurdistan -- Kurdish Hamas and Tawhid -- merged to formed Al-Tawhid Islamic Front (TIF). TIF's life as an independent group was relatively short; it existed as an autonomous entity for three months in the summer of 2001 and was not credited with any major attacks. In September 2001, TIF merged with the Second Soran Unit to form Jund al-Islam.","08/00/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,"",0,"","no recorded geographic locations"
29,"Hamas Iraq",2007,0,1,1,"Hamas Iraq is an Iraqi Sunni Islamist organization that broke away from the 1920s Revolution Brigades in March 2007.  The group primarily targeted U.S. forces in Iraq from 2007-2011.  In July 2007, Hamas Iraq joined with several of Iraqs largest insurgent groups to form an umbrella organization called the Political Council for Iraqi Resistance (PCIR).",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/hamas-iraq","Hamas Iraq is an Iraqi Sunni Islamist organization that broke away from the 1920s Revolution Brigades in March 2007. The group primarily targeted U.S. forces in Iraq from 2007-2011. In July 2007, Hamas Iraq joined with several of Iraq¬ís largest insurgent groups to form an umbrella organization called the Political Council for Iraqi Resistance (PCIR).","02/00/2019","04/10/2007","02/00/2009",NA,NA,NA,NA,NA,NA,"","Diyala","Iraq","first attack location",0,0,0,"",0,"",""
31,"Second Soran Unit",1998,2001,0,1,"The Second Soran Unit (SSU) was a predominantly Kurdish, Sunni Islamist militant group that was led by Asad Muhammad Hasan (more commonly known as Aso Hawleri).  The SSU had been a military brigade in the Islamic Movement of Kurdistan (IMK) before splitting off to form an independent group in 1998.  In 2001, the SSU merged with two other Kurdish Sunni groups to form Jund al-Islam, a group that would became a founding member of Ansar al-Islam later that year.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/second-soran-unit-ssu","The Second Soran Unit (SSU) was a predominantly Kurdish, Sunni Islamist militant group that was led by Asad Muhammad Hasan (more commonly known as Aso Hawleri). The SSU had been a military brigade in the Islamic Movement of Kurdistan (IMK) before splitting off to form an independent group in 1998. In 2001, the SSU merged with two other Kurdish Sunni groups to form Jund al-Islam, a group that would became a founding member of Ansar al-Islam later that year.","08/00/2015",NA,NA,"350","2001","350",2001,"400",2001,"Biyara","","Iraq","headquarters",0,0,0,"",0,"",""
57,"Mahdi Army",2003,0,1,1,"The Mahdi Army, also known as the Jaysh al-Mahdi (JAM), is a Shiite militia led by Muqtada al-Sadr. The group was founded in 2003 and was considered one of the most dangerous groups in Iraq until early 2008. In March 2008, the Iraqi Security Forces and coalition troops launched a major offensive against the Mahdi Army in Basra, significantly undermining its capacity. After signing a ceasefire agreement with the coalition forces in 2008, Sadr reoriented the Mahdi Army to focus on social services provision for the Shiite community. In 2010, Sadr again redirected the focus of many members of the Mahdi army, this time to the upcoming parliamentary elections, before stepping out of the public eye in 2013. Then in June 2014, he reemerged to revive the Mahdi Army, now called the Peace Brigades, in order to join the fight against the Islamic State.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/mahdi-army","The Mahdi Army, also known as the Jaysh al-Mahdi (JAM), is a Shiite militia led by Muqtada al-Sadr. The group was founded in 2003 and was considered one of the most dangerous groups in Iraq until early 2008. In March 2008, the Iraqi Security Forces and coalition troops launched a major offensive against the Mahdi Army in Basra, significantly undermining its capacity. After signing a ceasefire agreement with the coalition forces in 2008, Sadr reoriented the Mahdi Army to focus on social services provision for the Shiite community. In 2010, Sadr again redirected the focus of many members of the Mahdi army, this time to the upcoming parliamentary elections, before stepping out of the public eye in 2013. Then in June 2014, he reemerged to revive the Mahdi Army, now called the Peace Brigades, in order to join the fight against the Islamic State.","05/00/2019","04/04/2004","09/03/2014","300","2003","300",2003,"60,000",2007,"Baghdad","","Iraq","first attack location",0,0,0,"",1,"Iran",""
61,"Al Shabaab",2006,0,1,1,"Al Shabaab, meaning ""The Youth"" in Arabic, is the largest militant organization fighting to oust the Somalian government. The group seeks to control territory within Somalia in order to establish a society based on its rigid interpretation of Shariah law. Although based in Somalia, Al Shabaab also conducts attacks in neighboring countries, such as Kenya. Al Shabaab emerged as an independent organization around December 2006 after breaking away from the Islamic Courts Union (ICU), for which it had served as the military wing. Since the late 2000s, Al Shabaab has had close ties to Al Qaeda and has sought to frame the Somalian struggle as part of a global jihad. The group has engaged in bombings, suicide attacks, and armed assaults, especially against Somalian government targets, non-Christians, private citizens,  foreign troops, diplomats, and aid or nongovernmental organization workers.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/al-shabaab","Al Shabaab, meaning ""The Youth"" in Arabic, is the largest militant organization fighting to oust the Somalian government. The group seeks to control territory within Somalia in order to establish a society based on its rigid interpretation of Shariah law. Although based in Somalia, Al Shabaab also conducts attacks in neighboring countries, such as Kenya. Al Shabaab emerged as an independent organization around December 2006 after breaking away from the Islamic Courts Union (ICU), for which it had served as the military wing. Since the late 2000s, Al Shabaab has had close ties to Al Qaeda and has sought to frame the Somalian struggle as part of a global jihad. The group has engaged in bombings, suicide attacks, and armed assaults, especially against Somalian government targets, non-Christians, private citizens, foreign troops, diplomats, and aid or nongovernmental organization workers.","01/00/2019","03/26/2007","01/15/2019","6,000","2008","5,000",2013,"9,000",2017,"Mogadishu","","Somalia","first attack location",1,0,0,"",1,"Eritrea, Djibouti, Iran, Syria, Libya, Egypt, and Saudi Arabia",""
65,"Al Qaeda in the Islamic Maghreb",1998,0,1,1,"AQIM, originally known as the Salafist Group for Preaching and Combat (GSPC), split from the Armed Islamic Group (GIA), the main Islamist group fighting in the Algerian Civil War, in 1998.  In 2006, the GSPC became a formal affiliate of Al Qaeda (AQ) and changed its name to Al Qaeda in the Islamic Maghreb (AQIM).  The group is famous for kidnapping westerners for ransom in North Africa and is an active participant in the drug, arms and human trafficking trade in the region.  Through these pursuits, AQIM has become one of the wealthiest terrorist organizations in the world.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/aqim","AQIM, originally known as the Salafist Group for Preaching and Combat (GSPC), split from the Armed Islamic Group (GIA), the main Islamist group fighting in the Algerian Civil War, in 1998. In 2006, the GSPC became a formal affiliate of Al Qaeda (AQ) and changed its name to Al Qaeda in the Islamic Maghreb (AQIM). The group is famous for kidnapping westerners for ransom in North Africa and is an active participant in the drug, arms and human trafficking trade in the region. Through these pursuits, AQIM has become one of the wealthiest terrorist organizations in the world.","07/00/2018","04/00/2003","06/30/2018","200","2002","200",2002,"1000",2015,"","Kabylie","Algeria","",1,1,1,"Canada, New Zealand, Australia, and the United Kingdom",0,"",""
75,"Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN)",2006,0,1,1,"The Jaysh Rijal al-Tariq al-Naqshbandia (JRTN) is a Sufi insurgent group largely comprised of ex-Baath Party members. It was formed by Izzat Ibrihim al-Douri in 2006 in response to the execution of Saddam Hussein.  With Husseins death, many of Iraqs remaining Baathists coalesced around Douri, the most senior remaining Baathist leader in the country, forming the basis of the JRTN.  The group has since expanded to become one of the most powerful insurgent organizations in Iraq, second only to the Islamic State (IS). Despite their almost diametrically opposed ideologies, the JRTN and IS have worked closely with one another on multiple occasions, most notably in the capture of Mosul in June of 2014.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/jrtn","The Jaysh Rijal al-Tariq al-Naqshbandia (JRTN) is a Sufi insurgent group largely comprised of ex-Baath Party members. It was formed by Izzat Ibrihim al-Douri in 2006 in response to the execution of Saddam Hussein. With Hussein¬ís death, many of Iraq¬ís remaining Baathists coalesced around Douri, the most senior remaining Ba¬íathist leader in the country, forming the basis of the JRTN. The group has since expanded to become one of the most powerful insurgent organizations in Iraq, second only to the Islamic State (IS). Despite their almost diametrically opposed ideologies, the JRTN and IS have worked closely with one another on multiple occasions, most notably in the capture of Mosul in June of 2014.","04/00/2019","02/00/2009","01/03/2015","1500","2009","1500",2009,"2000",2014,"Baqouba","Diyala","Iraq","first attack location",1,0,0,"",1,"Saudi Arabia and Jordan",""
77,"Red Brigades",1970,1984,0,1,"The left-wing Red Brigades (BR) was Italy's largest, longest-lived, and most prolific terrorist group. It was founded in Milan in 1970 by members of student and worker groups. The group sought to defend against a feared fascist coup and sought to overthrow the democratic Italian government and replace it with a dictatorship of the proletariat. It absorbed many smaller groups before finally splitting up itself in the face of widespread arrests and internal disputes beginning in 1980. ",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/red-brigades","The left-wing Red Brigades (BR) was Italy's largest, longest-lived, and most prolific terrorist group. It was founded in Milan in 1970 by members of student and worker groups. The group sought to defend against a feared fascist coup and sought to overthrow the democratic Italian government and replace it with a dictatorship of the proletariat. It absorbed many smaller groups before finally splitting up itself in the face of widespread arrests and internal disputes beginning in 1980.","06/00/2012","09/17/1970","04/16/1981","50","1970","50",1970,"1000",1979,"Chiavari","Genoa","Italy","",0,0,0,"",0,"","Likely designated by Italy? Info not in profile"
79,"Lashkar-e-Taiba",1990,0,1,1,"Lashkar-e-Taiba (LeT) is a Pakistan-based group formed in 1990 that primarily fights Indian control over Jammu and Kashmir. The group subscribes to a strict fundamentalist interpretation of Islam and seeks to establish an Islamic caliphate in South Asia. It has declared the U.S., Israel and India as existential enemies of Islam. LeT has conducted numerous deadly attacks against Indian officials, troops, and civilians in the disputed area of Kashmir as well as throughout India and Afghanistan.  The group maintains training camps, facilities, schools, and medical clinics in Pakistan. It runs its own charitable organization, Jamaat-ud-Dawa (JUD), and has supported humanitarian relief missions in Pakistan. In 2002, Pakistan officially banned Lashkar-e-Taiba. In 2008, both the U.S. and the UN placed sanctions on several senior LeT leaders. ",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/lashkar-e-taiba","Lashkar-e-Taiba (LeT) is a Pakistan-based group formed in 1990 that primarily fights Indian control over Jammu and Kashmir. The group subscribes to a strict fundamentalist interpretation of Islam and seeks to establish an Islamic caliphate in South Asia. It has declared the U.S., Israel and India as existential enemies of Islam. LeT has conducted numerous deadly attacks against Indian officials, troops, and civilians in the disputed area of Kashmir as well as throughout India and Afghanistan. The group maintains training camps, facilities, schools, and medical clinics in Pakistan. It runs its own charitable organization, Jamaat-ud-Dawa (JUD), and has supported humanitarian relief missions in Pakistan. In 2002, Pakistan officially banned Lashkar-e-Taiba. In 2008, both the U.S. and the UN placed sanctions on several senior LeT leaders.","11/00/2018","00/00/1990","12/04/2017","2000","2011","2000",2018,"2000",2018,"Lahore","","Pakistan","",1,1,1,"Pakistan",1,"Pakistan",""
81,"Hezbollah",1983,0,1,1,"Hezbollah is a Shiite political and militant organization based in Lebanon. Since its creation in the 1980s, it has evolved into a hybrid organization woven into the structure of Lebanese society through social services and active participation in politics while also carrying out international terrorist attacks and regional military operations. The group regularly clashes with Israel and opposes Western influence in Lebanon, and most recently has been involved in the Syrian Civil War as an ally of the Assad government.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/hezbollah","Hezbollah is a Shiite political and militant organization based in Lebanon. Since its creation in the 1980s, it has evolved into a hybrid organization woven into the structure of Lebanese society through social services and active participation in politics while also carrying out international terrorist attacks and regional military operations. The group regularly clashes with Israel and opposes Western influence in Lebanon, and most recently has been involved in the Syrian Civil War as an ally of the Assad government.","08/00/2016","04/09/1983","06/00/2018","3000","2006","3000",2006,"25000",2017,"","Bekaa Valley","Lebanon","",1,0,1,"Canada, Australia, Netherlands, New Zealand, Bahrain, European Union, UK, Gulf Cooperation Council, Arab League, Argentina",1,"Iran",""
85,"United Self-Defense Forces of Colombia",1997,2006,0,1,"The AUC is a right-wing, paramilitary organization in Colombia, that was active from 1997 to 2006. The Castaño brothers founded a vigilante, self defense movement, las Tangas, to attack leftist guerrillas in 1982 and, after several transformations, their group became the AUC in 1997, a consolidation of many self-defense groups that used tactics such as kidnappings and assassinations. The AUC demobilized in 2006; however, some individuals and small groups have carried out attacks claiming to be the AUC since the groups demobilization.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/united-self-defense-forces-colombia","The AUC is a right-wing, paramilitary organization in Colombia, that was active from 1997 to 2006. The Casta√±o brothers founded a vigilante, self defense movement, las Tangas, to attack leftist guerrillas in 1982 and, after several transformations, their group became the AUC in 1997, a consolidation of many self-defense groups that used tactics such as kidnappings and assassinations. The AUC demobilized in 2006; however, some individuals and small groups have carried out attacks claiming to be the AUC since the group¬ís demobilization.","08/00/2015","01/00/1999","00/00/2008","30000","2000","20",2008,"30000",2000,"","Nudo de Paramillo","Colombia","location in the Colombian Andes",1,0,1,"EU",0,"",""
87,"National Liberation Army (Colombia)",1964,0,1,1,"Brothers Fabio and Manuel Vasquéz Castaño founded the ELN, a Marxist-Leninst group, in 1964 to defend Colombians whom they believed to be victims of social, political, and economic injustices perpetrated by the Colombian state. The Colombian military decimated the ELN in 1973; however, the group was able to rebuild from just 65 members. The ELNs involvement in the drug trade and kidnapping practices helped the group grow to over 4,000 members at its height in 1999. Though the ELN has been in steady decline since 2000, the group has remained involved in peace talks with the Colombian government from 2014 through to 2015.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/national-liberation-army-eln","Brothers Fabio and Manuel Vasqu√©z Casta√±o founded the ELN, a Marxist-Leninst group, in 1964 to defend Colombians whom they believed to be victims of social, political, and economic injustices perpetrated by the Colombian state. The Colombian military decimated the ELN in 1973; however, the group was able to rebuild from just 65 members. The ELN¬ís involvement in the drug trade and kidnapping practices helped the group grow to over 4,000 members at its height in 1999. Though the ELN has been in steady decline since 2000, the group has remained involved in peace talks with the Colombian government from 2014 through to 2015.","07/00/2019","01/07/1965","01/17/2019","200","1972","65",2003,"8000",1990,"","Bolivar","Colombia","",1,0,1,"Colombia, Canada, Venezuela, and the EU",NA,"",""
